Image,Caption,Rights
urn:cite:bnf:gr2706img.bnf2706_img135,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 63 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img136,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 63 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img137,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 64 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img138,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 64 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img139,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 65 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img140,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 65 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img141,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 66 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img142,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 66 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img143,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 67 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img144,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 67 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
